title,category,publish_date,title_en,title_en_stopwords_removed,sentiment
Berapa Harga Saham BBCA Hari Ini?,detikFinance,2024-11-11 12:45:00,What is the Price of BBCA Shares Today?,Price BBCA Shares Today ?,NEGATIVE
Dua Mata Pisau Penghapusan Utang UMKM,detikFinance,2024-11-08 15:15:00,Double-edged Sword of MSME Debt Elimination,Double-edged Sword MSME Debt Elimination,NEGATIVE
"Prabowo Hapus Utang UMKM, Begini Efeknya ke Saham Perbankan",detikFinance,2024-11-06 13:44:00,"Prabowo Writes Off MSME Debt, Here's the Effect on Banking Stocks","Prabowo Writes MSME Debt , 's Effect Banking Stocks",NEGATIVE
IHSG Hari Ini Diramal Bergerak Fluktuatif,detikFinance,2024-11-05 08:13:00,IHSG Today Predicted to Move Fluctuatively,IHSG Today Predicted Move Fluctuatively,POSITIVE
"Masuk Daftar 45 Saham Pre-opening, Saham GOTO Makin Likuid?",detikFinance,2024-10-29 08:30:00,"Entering the List of 45 Pre-opening Stocks, Are GOTO Stocks Increasingly Liquid?","Entering List 45 Pre-opening Stocks , GOTO Stocks Increasingly Liquid ?",POSITIVE
"Aset Kantor Luar Negeri BNI Tumbuh 14,55% Kuartal III 2024",detikFinance,2024-10-25 22:28:00,BNI Overseas Office Assets Grow 14.55% in Q3 2024,BNI Overseas Office Assets Grow 14.55 % Q3 2024,POSITIVE
"BNI Salurkan Kredit Rp 735 T, Bidik Pertumbuhan 12% di Akhir 2024",detikFinance,2024-10-25 21:28:00,"BNI Distributes IDR 735 T in Credit, Targets 12% Growth by End of 2024","BNI Distributes IDR 735 Credit , Targets 12 % Growth End 2024",POSITIVE
BNI Optimistis Bisnisnya Makin Moncer di Era Pemerintahan Baru,detikFinance,2024-10-25 20:30:00,BNI Optimistic Its Business Will Be More Promising in the New Government Era,BNI Optimistic Business Promising New Government Era,POSITIVE
"Prabowo Sudah Panggil Calon Menteri, IHSG Diprediksi Menguat ke 7.600",detikFinance,2024-10-15 08:35:00,"Prabowo Has Called Ministerial Candidates, IHSG Predicted to Strengthen to 7,600","Prabowo Called Ministerial Candidates , IHSG Predicted Strengthen 7,600",POSITIVE
Catat! Saham yang Bakal Cuan Hari Ini,detikFinance,2024-10-09 09:04:00,Note! Stocks that will make money today,Note ! Stocks make money today,POSITIVE
