title,category,publish_date,article_url,sentiment
IHSG Hari Ini Diprediksi Melemah di Level 7.200-7.300,detikFinance,"Kamis, 28 Nov 2024 08:51 WIB",https://finance.detik.com/market-research/d-7660585/ihsg-hari-ini-diprediksi-melemah-di-level-7-200-7-300,negatif
IHSG Hari Ini Diramal Bergerak di Level 7.100-7.200,detikFinance,"Selasa, 19 Nov 2024 08:49 WIB",https://finance.detik.com/bursa-dan-valas/d-7645441/ihsg-hari-ini-diramal-bergerak-di-level-7-100-7-200,negatif
Berapa Harga Saham BBCA Hari Ini?,detikFinance,"Senin, 11 Nov 2024 12:45 WIB",https://finance.detik.com/bursa-dan-valas/d-7632680/berapa-harga-saham-bbca-hari-ini,positif
Masuk Daftar 45 Saham Pre-opening Saham GOTO Makin Likuid?,detikFinance,"Selasa, 29 Okt 2024 08:30 WIB",https://finance.detik.com/bursa-dan-valas/d-7610863/masuk-daftar-45-saham-pre-opening-saham-goto-makin-likuid,negatif
BCA Pemberi Utang Terbesar ke Sritex Respons soal Kondisi Pailit,detikFinance,"Selasa, 29 Okt 2024 07:45 WIB",https://finance.detik.com/moneter/d-7611188/bca-pemberi-utang-terbesar-ke-sritex-respons-soal-kondisi-pailit,negatif
Rincian Utang Bejibun Sritex ke 28 Bank,detikFinance,"Selasa, 29 Okt 2024 07:27 WIB",https://finance.detik.com/moneter/d-7611176/rincian-utang-bejibun-sritex-ke-28-bank,negatif
Bos Buruh Ungkap Sritex Pailit Gara-gara Sulit Bayar Utang,detikFinance,"Kamis, 24 Okt 2024 15:16 WIB",https://finance.detik.com/industri/d-7604507/bos-buruh-ungkap-sritex-pailit-gara-gara-sulit-bayar-utang,negatif
IHSG Pagi Ini Lesu di Level 7.496,detikFinance,"Senin, 07 Okt 2024 09:23 WIB",https://finance.detik.com/bursa-dan-valas/d-7575498/ihsg-pagi-ini-lesu-di-level-7-496,positif
IHSG Diprediksi Menguat Ini Saham yang Bakal Cuan,detikFinance,"Senin, 07 Okt 2024 08:38 WIB",https://finance.detik.com/market-research/d-7575442/ihsg-diprediksi-menguat-ini-saham-yang-bakal-cuan,positif
IHSG Hari Ini Berpotensi Melemah Simak Rekomendasi Sahamnya,detikFinance,"Jumat, 04 Okt 2024 08:45 WIB",https://finance.detik.com/market-research/d-7571308/ihsg-hari-ini-berpotensi-melemah-simak-rekomendasi-sahamnya,negatif
Simak! Rekomendasi Saham Akhir Pekan,detikFinance,"Jumat, 20 Sep 2024 08:53 WIB",https://finance.detik.com/bursa-dan-valas/d-7549103/simak-rekomendasi-saham-akhir-pekan,positif
IHSG Hari Ini Dibuka Menguat ke 7.807,detikFinance,"Jumat, 13 Sep 2024 09:27 WIB",https://finance.detik.com/bursa-dan-valas/d-7538534/ihsg-hari-ini-dibuka-menguat-ke-7-807,positif
Masih Lesu IHSG Dibuka Turun ke Level 7.591,detikFinance,"Rabu, 28 Agu 2024 09:29 WIB",https://finance.detik.com/bursa-dan-valas/d-7512268/masih-lesu-ihsg-dibuka-turun-ke-level-7-591,positif
IHSG Pagi Ini Dibuka Lesu ke Level 7.592,detikFinance,"Selasa, 27 Agu 2024 09:22 WIB",https://finance.detik.com/bursa-dan-valas/d-7510459/ihsg-pagi-ini-dibuka-lesu-ke-level-7-592,positif
Kemarin Lesu Seharian IHSG Kembali ke Zona Hijau di Level 7.500-an,detikFinance,"Jumat, 23 Agu 2024 09:27 WIB",https://finance.detik.com/bursa-dan-valas/d-7504247/kemarin-lesu-seharian-ihsg-kembali-ke-zona-hijau-di-level-7-500-an,positif
IHSG Dibuka Lesu Turun ke Level 7.400-an,detikFinance,"Kamis, 22 Agu 2024 09:39 WIB",https://finance.detik.com/bursa-dan-valas/d-7502347/ihsg-dibuka-lesu-turun-ke-level-7-400-an,negatif
IHSG Dibuka Naik 035% ke Level 7.382,detikFinance,"Rabu, 14 Agu 2024 09:15 WIB",https://finance.detik.com/bursa-dan-valas/d-7488806/ihsg-dibuka-naik-0-35-ke-level-7-382,positif
Bikin Mata Seger IHSG Dibuka Menguat Lagi,detikFinance,"Jumat, 09 Agu 2024 09:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7480879/bikin-mata-seger-ihsg-dibuka-menguat-lagi,negatif
IHSG Dibuka Melemah Lagi Nyaris Tinggalkan Zona 7.200-an,detikFinance,"Kamis, 08 Agu 2024 09:10 WIB",https://finance.detik.com/bursa-dan-valas/d-7479001/ihsg-dibuka-melemah-lagi-nyaris-tinggalkan-zona-7-200-an,positif
