title,category,publish_date,article_url
Berapa Harga Saham BBCA Hari Ini?,detikFinance,"Senin, 11 Nov 2024 12:45 WIB",https://finance.detik.com/bursa-dan-valas/d-7632680/berapa-harga-saham-bbca-hari-ini
Dua Mata Pisau Penghapusan Utang UMKM,detikFinance,"Jumat, 08 Nov 2024 15:15 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7628709/dua-mata-pisau-penghapusan-utang-umkm
"Prabowo Hapus Utang UMKM, Begini Efeknya ke Saham Perbankan",detikFinance,"Rabu, 06 Nov 2024 13:44 WIB",https://finance.detik.com/bursa-dan-valas/d-7625075/prabowo-hapus-utang-umkm-begini-efeknya-ke-saham-perbankan
IHSG Hari Ini Diramal Bergerak Fluktuatif,detikFinance,"Selasa, 05 Nov 2024 08:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7622634/ihsg-hari-ini-diramal-bergerak-fluktuatif
"Masuk Daftar 45 Saham Pre-opening, Saham GOTO Makin Likuid?",detikFinance,"Selasa, 29 Okt 2024 08:30 WIB",https://finance.detik.com/bursa-dan-valas/d-7610863/masuk-daftar-45-saham-pre-opening-saham-goto-makin-likuid
"Aset Kantor Luar Negeri BNI Tumbuh 14,55% Kuartal III 2024",detikFinance,"Jumat, 25 Okt 2024 22:28 WIB",https://finance.detik.com/moneter/d-7606672/aset-kantor-luar-negeri-bni-tumbuh-14-55-kuartal-iii-2024
"BNI Salurkan Kredit Rp 735 T, Bidik Pertumbuhan 12% di Akhir 2024",detikFinance,"Jumat, 25 Okt 2024 21:28 WIB",https://finance.detik.com/moneter/d-7606620/bni-salurkan-kredit-rp-735-t-bidik-pertumbuhan-12-di-akhir-2024
BNI Optimistis Bisnisnya Makin Moncer di Era Pemerintahan Baru,detikFinance,"Jumat, 25 Okt 2024 20:30 WIB",https://finance.detik.com/moneter/d-7606593/bni-optimistis-bisnisnya-makin-moncer-di-era-pemerintahan-baru
"Prabowo Sudah Panggil Calon Menteri, IHSG Diprediksi Menguat ke 7.600",detikFinance,"Selasa, 15 Okt 2024 08:35 WIB",https://finance.detik.com/market-research/d-7588272/prabowo-sudah-panggil-calon-menteri-ihsg-diprediksi-menguat-ke-7-600
Catat! Saham yang Bakal Cuan Hari Ini,detikFinance,"Rabu, 09 Okt 2024 09:04 WIB",https://finance.detik.com/market-research/d-7578984/catat-saham-yang-bakal-cuan-hari-ini
"IHSG Diprediksi Menguat, Ini Saham yang Bakal Cuan",detikFinance,"Senin, 07 Okt 2024 08:38 WIB",https://finance.detik.com/market-research/d-7575442/ihsg-diprediksi-menguat-ini-saham-yang-bakal-cuan
"IHSG Hari Ini Berpotensi Melemah, Simak Rekomendasi Sahamnya",detikFinance,"Jumat, 04 Okt 2024 08:45 WIB",https://finance.detik.com/market-research/d-7571308/ihsg-hari-ini-berpotensi-melemah-simak-rekomendasi-sahamnya
Simak di Sini Rekomendasi Saham Harian,detikFinance,"Selasa, 24 Sep 2024 08:41 WIB",https://finance.detik.com/bursa-dan-valas/d-7555059/simak-di-sini-rekomendasi-saham-harian
Simak! Rekomendasi Saham Akhir Pekan,detikFinance,"Jumat, 20 Sep 2024 08:53 WIB",https://finance.detik.com/bursa-dan-valas/d-7549103/simak-rekomendasi-saham-akhir-pekan
Akhir Pekan IHSG Ditutup Betah di Zona Hijau,detikFinance,"Jumat, 06 Sep 2024 16:30 WIB",https://finance.detik.com/bursa-dan-valas/d-7528301/akhir-pekan-ihsg-ditutup-betah-di-zona-hijau
"Masih Lesu, IHSG Dibuka Turun ke Level 7.591",detikFinance,"Rabu, 28 Agu 2024 09:29 WIB",https://finance.detik.com/bursa-dan-valas/d-7512268/masih-lesu-ihsg-dibuka-turun-ke-level-7-591
IHSG Pagi Ini Dibuka Lesu ke Level 7.592,detikFinance,"Selasa, 27 Agu 2024 09:22 WIB",https://finance.detik.com/bursa-dan-valas/d-7510459/ihsg-pagi-ini-dibuka-lesu-ke-level-7-592
IHSG Awal Pekan Melesat ke Level 7.604,detikFinance,"Senin, 26 Agu 2024 09:27 WIB",https://finance.detik.com/bursa-dan-valas/d-7508538/ihsg-awal-pekan-melesat-ke-level-7-604
BNI Buka Suara soal Rencana Divestasi Saham di BSI,detikFinance,"Kamis, 22 Agu 2024 19:47 WIB",https://finance.detik.com/bursa-dan-valas/d-7503808/bni-buka-suara-soal-rencana-divestasi-saham-di-bsi
"BNI Ajak Masyarakat Berinvestasi, Ada Hadiah 1.000 Lembar Saham BBNI",detikFinance,"Sabtu, 03 Agu 2024 14:30 WIB",https://finance.detik.com/moneter/d-7471665/bni-ajak-masyarakat-berinvestasi-ada-hadiah-1-000-lembar-saham-bbni
"IHSG Bergerak di Zona Merah ke Level 7.313, Simak Rekomendasi Sahamnya",detikFinance,"Jumat, 02 Agu 2024 09:19 WIB",https://finance.detik.com/bursa-dan-valas/d-7469602/ihsg-bergerak-di-zona-merah-ke-level-7-313-simak-rekomendasi-sahamnya
"Yuk ke BNI EXPO 2024, Cari Rumah hingga Pergi Piknik ke Tempat Impian",detikFinance,"Kamis, 01 Agu 2024 13:35 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7468285/yuk-ke-bni-expo-2024-cari-rumah-hingga-pergi-piknik-ke-tempat-impian
IHSG Pagi Ini Dibuka Naik ke Level 7.279,detikFinance,"Kamis, 01 Agu 2024 09:09 WIB",https://finance.detik.com/bursa-dan-valas/d-7467703/ihsg-pagi-ini-dibuka-naik-ke-level-7-279
Bank BUMN Kasih Bunga Kredit Spesial buat Nasabah,detikFinance,"Rabu, 31 Jul 2024 11:20 WIB",https://finance.detik.com/moneter/d-7466585/bank-bumn-kasih-bunga-kredit-spesial-buat-nasabah
