title,category,publish_date,article_url
"Beri Kado HUT Ke-129, BRI Bagikan Dividen Interim Sebesar Rp 20,46 T",detikFinance,"Senin, 16 Des 2024 12:24 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7688614/beri-kado-hut-ke-129-bri-bagikan-dividen-interim-sebesar-rp-20-46-t
"HUT Ke-129, Ini Sederet Capaian & Kontribusi BRI untuk Kemajuan Ekonomi RI",detikFinance,"Senin, 16 Des 2024 11:56 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7688559/hut-ke-129-ini-sederet-capaian-kontribusi-bri-untuk-kemajuan-ekonomi-ri
IHSG Dibuka Jeblok Akhir Pekan!,detikFinance,"Jumat, 13 Des 2024 09:35 WIB",https://finance.detik.com/bursa-dan-valas/d-7684438/ihsg-dibuka-jeblok-akhir-pekan
"IHSG Awal Pekan Dibuka Hijau, Menguat ke Level 7.404",detikFinance,"Senin, 09 Des 2024 09:27 WIB",https://finance.detik.com/bursa-dan-valas/d-7677429/ihsg-awal-pekan-dibuka-hijau-menguat-ke-level-7-404
"IHSG Hari Ini Dibuka 2 Arah, Begini Pergerakannya",detikFinance,"Jumat, 06 Des 2024 09:20 WIB",https://finance.detik.com/bursa-dan-valas/d-7673403/ihsg-hari-ini-dibuka-2-arah-begini-pergerakannya
IHSG Awal Pekan Naik ke Level 7.135,detikFinance,"Senin, 02 Des 2024 09:22 WIB",https://finance.detik.com/bursa-dan-valas/d-7666374/ihsg-awal-pekan-naik-ke-level-7-135
IHSG Hari Ini Diprediksi Melemah di Level 7.200-7.300,detikFinance,"Kamis, 28 Nov 2024 08:51 WIB",https://finance.detik.com/market-research/d-7660585/ihsg-hari-ini-diprediksi-melemah-di-level-7-200-7-300
IHSG Hari Ini Diramal Bergerak di Level 7.100-7.200,detikFinance,"Selasa, 19 Nov 2024 08:49 WIB",https://finance.detik.com/bursa-dan-valas/d-7645441/ihsg-hari-ini-diramal-bergerak-di-level-7-100-7-200
"Awal Pekan IHSG Dibuka Hijau, Menguat ke Level 7.162",detikFinance,"Senin, 18 Nov 2024 09:30 WIB",https://finance.detik.com/bursa-dan-valas/d-7643667/awal-pekan-ihsg-dibuka-hijau-menguat-ke-level-7-162
Awal Pekan IHSG Diramal Bergerak Fluktuatif,detikFinance,"Senin, 18 Nov 2024 08:04 WIB",https://finance.detik.com/bursa-dan-valas/d-7643610/awal-pekan-ihsg-diramal-bergerak-fluktuatif
IHSG Hari Ini Diramal Mengalami Penguatan,detikFinance,"Kamis, 14 Nov 2024 08:24 WIB",https://finance.detik.com/bursa-dan-valas/d-7637530/ihsg-hari-ini-diramal-mengalami-penguatan
"Kredit Macet Menurun, Dirut BRI Ungkap Strategi Tingkatkan Kualitas Aset",detikFinance,"Rabu, 13 Nov 2024 16:30 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7636724/kredit-macet-menurun-dirut-bri-ungkap-strategi-tingkatkan-kualitas-aset
Berapa Harga Saham BBCA Hari Ini?,detikFinance,"Senin, 11 Nov 2024 12:45 WIB",https://finance.detik.com/bursa-dan-valas/d-7632680/berapa-harga-saham-bbca-hari-ini
Dua Mata Pisau Penghapusan Utang UMKM,detikFinance,"Jumat, 08 Nov 2024 15:15 WIB",https://finance.detik.com/berita-ekonomi-bisnis/d-7628709/dua-mata-pisau-penghapusan-utang-umkm
"Prabowo Hapus Utang UMKM, Begini Efeknya ke Saham Perbankan",detikFinance,"Rabu, 06 Nov 2024 13:44 WIB",https://finance.detik.com/bursa-dan-valas/d-7625075/prabowo-hapus-utang-umkm-begini-efeknya-ke-saham-perbankan
Bank BRI Optimistis Kebijakan Ekonomi di Era Presiden Prabowo Subianto,detikFinance,"Selasa, 05 Nov 2024 10:34 WIB",https://finance.detik.com/moneter/d-7622179/bank-bri-optimistis-kebijakan-ekonomi-di-era-presiden-prabowo-subianto
IHSG Hari Ini Diramal Bergerak Fluktuatif,detikFinance,"Selasa, 05 Nov 2024 08:13 WIB",https://finance.detik.com/bursa-dan-valas/d-7622634/ihsg-hari-ini-diramal-bergerak-fluktuatif
IHSG Awal Pekan Diramal Masih di Zona Merah,detikFinance,"Senin, 04 Nov 2024 08:43 WIB",https://finance.detik.com/bursa-dan-valas/d-7620825/ihsg-awal-pekan-diramal-masih-di-zona-merah
